keyword,name,title,date,url
기획자 과정,브런치스토리,주니어기획자를 위한 서비스 기획 순서를 정리해 보았다.,2024. 5. 19.,https://brunch.co.kr/@@ePvG/2
기획자 과정,티스토리,서비스 기획자는 어떻게 일할까? : 기획자의 업무 프로세스 훔쳐 ...,2024. 6. 5.,https://neokcham.tistory.com/entry/%EC%84%9C%EB%B9%84%EC%8A%A4-%EA%B8%B0%ED%9A%8D%EC%9E%90%EB%8A%94-%EC%96%B4%EB%96%BB%EA%B2%8C-%EC%9D%BC%ED%95%A0%EA%B9%8C-%EA%B8%B0%ED%9A%8D%EC%9E%90%EC%9D%98-%EC%97%85%EB%AC%B4-%ED%94%84%EB%A1%9C%EC%84%B8%EC%8A%A4-%ED%9B%94%EC%B3%90%EB%B3%B4%EA%B8%B0
기획자 과정,산학연Plus,[ZOOM] 기획자 입문 과정: 3시간 만에 배우는 필수 기획 스킬,2024. 6. 19.,https://edu.auri.go.kr/sub/education/educationUserDetail?p=NGNLNXVqN3M2VTNTcmE0MmNZNHZPZzZFRy93VTc2OStJcEZUQ2sxRWdWcz0=
기획자 과정,링커리어,인공지능(AI) 서비스기획자 양성과정 교육생모집,2024. 5. 30.,https://linkareer.com/activity/183467
기획자 과정,티스토리,"앱, 웹 개발을 위한 기획 과정 요약 - 애플피시 이야기",2024. 7. 1.,https://applefish03.tistory.com/entry/%EC%95%B1-%EC%9B%B9-%EA%B0%9C%EB%B0%9C%EC%9D%84-%EC%9C%84%ED%95%9C-%EA%B8%B0%ED%9A%8D-%EA%B3%BC%EC%A0%95-%EC%9A%94%EC%95%BD
기획자 과정,크리에이터링크,세상을 연결하는 행사기획자 양성 전문과정,2024. 2. 17.,https://kevent.creatorlink.net/
기획자 과정,브런치스토리,혼자 서비스 기획을 공부하는 방법,2024. 7. 5.,https://brunch.co.kr/@windydog/165
기획자 과정,성남시청,인공지능 서비스기획자 양성과정 교육생 모집 - 성남시,2024. 6. 11.,https://www.seongnam.go.kr/apply/view.do?appIdx=3076
기획자 과정,마포청년나루,[교육] [전문가창직] 지역기반 문화기획자 양성 과정,2024. 5. 16.,https://naroo.or.kr/bbs/content.php?co_id=program_view&np_seq=919
기획자 과정,NAVER,"어플 제작, 앱개발 과정 8단계 '기획부터 출시까지' - 네이버블로그",2024. 2. 7.,https://blog.naver.com/wishket/223341034745
기획자 과정,요즘것들,[온라인/5주과정] 비전공자도 될 수 있는 서비스기획자/PM 9 ...,2024. 7. 2.,https://www.allforyoung.com/posts/50250
기획자 과정,원티드,"6년 차 서비스 기획자, Tech PM의 새로운 길을 걷다",2024. 7. 29.,https://www.wanted.co.kr/events/article_240729
기획자 과정,청년취업사관학교,새싹 교육 프로그램,2024. 6. 16.,https://sesac.seoul.kr/course/active/offline007/list.do
기획자 과정,gokams.or.kr,교육 [국비지원] 공연예술 콘텐츠 기획실무 교육생 모집,2024. 4. 17.,https://www.gokams.or.kr/01_news/event_view.aspx?Idx=44545
기획자 과정,NAVER,[PPT 기획하기] 기획자가 하는 일,2024. 2. 15.,https://blog.naver.com/winnerspt/223354676791
기획자 과정,전통문화포털,2024 전통문화 전문인력양성 전통누리(기획자과정) 교육생 ...,2024. 6. 10.,https://www.kculture.or.kr/brd/board/685/L/menu/719?brdType=R&thisPage=1&bbIdx=14655&searchField=&searchText=&recordCnt=10
기획자 과정,아카데미느티나무,시민교육기획자학교① 새로운 상상과 실험을 위하여,2024. 4. 25.,https://academy.peoplepower21.org/courses/41614/
기획자 과정,요즘것들,2024 청년 로컬콘텐츠 기획자 양성 및 취업과정,2024. 4. 21.,https://www.allforyoung.com/posts/46901
기획자 과정,광명문화재단,2024 광명 시민문화기획자 활동과정 <광명 크루> 모집(제 ...,2024. 5. 17.,https://www.gmcf.or.kr/Community/Announcement/Details?articleId=232277
기획자 과정,상상마당 아카데미,KT&G 상상마당 콘서트 기획자 워크숍,2024. 6. 25.,https://www.ssmdacademy.com/media/?idx=27
기획자 과정,대구문화예술진흥원,2024 차세대 문화예술기획자 양성과정 교육생 모집,2024. 3. 19.,https://dgfca.or.kr/article/NOTICE/detail/10834
기획자 과정,광명문화재단,2024 광명 시민문화기획자 활동과정 <광명 크루> 모집(제 ...,2024. 5. 17.,https://www.gmcf.or.kr/Community/Announcement/Details?articleId=232277
기획자 과정,청년취업사관학교,관악 캠퍼스,2024. 7. 17.,https://sesac.seoul.kr/course/active/offline017/list.do
기획자 과정,온오프믹스,[서울시 무료교육] MICE 기획자 양성과정 (AI활용 업무효율 ...,2024. 7. 12.,https://onoffmix.com/event/307081?srsltid=AfmBOopprJywv09qY11sKKNq1bM-ODe7y5GYhw6QKDrBM9U-i3Djp59h
기획자 과정,경기IT새일센터,AI로 데이터 읽는 서비스기획자 양성 과정,2024. 7. 23.,https://itsaeil.or.kr/event/?bmode=view&idx=30446622
기획자 과정,링커리어,영등포구 청년문화기획자 양성과정 | 공모전 대외활동,2024. 7. 13.,https://linkareer.com/activity/45847
기획자 과정,boottent.com,SeSAC Web 3.0 핀테크 서비스 기획자 양성 과정,2024. 3. 18.,https://boottent.com/camps/sesac-blockchain_20240318095036
기획자 과정,관광인,[모집] 2024 로컬여행 상품기획자 양성과정(5차 광주지역),2024. 7. 12.,https://academy.visitkorea.or.kr/macademy/notice/bbs/detail.do?seq=2643
기획자 과정,아카데미느티나무,"시민교육기획자학교② 실습워크숍 <성찰, 표현, 연결을 위하여>",2024. 7. 8.,https://academy.peoplepower21.org/courses/41615/
기획자 과정,경기청년포털,성남여성인력개발센터 인공지능(AI) 서비스 기획자 양성과정,2024. 6. 7.,https://youth.gg.go.kr/gg/archive-policy-search.do?mode=view&arcNo=4895&pager.offset=0&pagerLimit=10
기획자 과정,세계타임즈,2024년 차세대 문화예술기획자 양성 과정 교육생 모집,2024. 3. 15.,https://m.thesegye.com/news/view/1065594822767219
기획자 과정,Instagram,문화도시 영등포 | [마을축제 기획자 양성과정] 참여자 모집 ...,2024. 7. 30.,https://www.instagram.com/cultural_city_ydp/p/C-Eud6ipGLB/
기획자 과정,관광인,[모집] 2024 로컬여행 상품기획자 양성과정(5차 광주지역),2024. 7. 12.,https://academy.visitkorea.or.kr/macademy/notice/bbs/detail.do?seq=2643
기획자 과정,factory2,"Factory, Project Planning School",2024. 1. 10.,https://factory2.kr/FactoryProjectPlanningSchool
기획자 과정,한국문화예술위원회,교육 | 아르코예술인력개발원 메뉴관리,2024. 7. 17.,https://www.arko.or.kr/develop/board/view/594?bid=392&cid=715291
기획자 과정,한국공학대학교,이커머스 상품기획자,2024. 5. 30.,https://www.tukorea.ac.kr/mirae/7674/subview.do
기획자 과정,온오프믹스,[K-디지털트레이닝] 멀티 디바이스 메타버스 플랫폼 게임 ...,2024. 2. 21.,https://onoffmix.com/event/293229?srsltid=AfmBOoqexJs4lccLZaVeRAa6WApPFDF6492TILcd3bjipm7SVPcdY9QO
기획자 과정,얼싱팩,얼싱팩과 함께함 청년취업사관학교 강동캠퍼스 데모데이,2024. 4. 9.,https://earthingpack.com/%EC%96%BC%EC%8B%B1%ED%8C%A9%EA%B3%BC-%ED%95%A8%EA%BB%98%ED%95%9C-%EC%B2%AD%EB%85%84%EC%B7%A8%EC%97%85%EC%82%AC%EA%B4%80%ED%95%99%EA%B5%90-%EA%B0%95%EB%8F%99%EC%BA%A0%ED%8D%BC%EC%8A%A4-%EB%8D%B0/
기획자 과정,belocal.kr,"시흥시, 「2024 청년문화기획자 양성과정」 참가자 모집 - 비로컬",2024. 4. 16.,https://www.belocal.kr/news/articleView.html?idxno=2243766
기획자 과정,성신여자대학교,공지사항 - [2024 캠퍼스타운] 문화 콘텐츠 기획자 양성 ...,2024. 6. 19.,https://www.sungshin.ac.kr/design/19900/subview.do?enc=Zm5jdDF8QEB8JTJGYmJzJTJGZGVzaWduJTJGNDkxNiUyRjEzMTY2OCUyRmFydGNsVmlldy5kbyUzRg%3D%3D
기획자 과정,그리팅,서비스기획자 (PO),2024. 5. 27.,https://wefuncorp.career.greetinghr.com/o/114113
기획자 과정,하자센터,[모집] 문화공간 기획 작업장 참가자 모집,2024. 6. 25.,https://haja.net/nowonhaja/34149
기획자 과정,광주비엔날레,광주비엔날레 아카데미 2024 전문기획자 양성프로그램 ...,2024. 7. 18.,http://www.gwangjubiennale.org/gb/Board/11726/detailView.do
기획자 과정,빛고을 50+ 센터,로컬(공정)여행 기획자 양성과정,2024. 7. 16.,http://www.gj50plus.or.kr/main/board/1/read/473
