name,title,date,url
브런치스토리,주니어기획자를 위한 서비스 기획 순서를 정리해 보았다.,2024. 5. 19.,https://brunch.co.kr
티스토리,서비스 기획자는 어떻게 일할까? : 기획자의 업무 프로세스 훔쳐 ...,2024. 6. 5.,https://neokcham.tistory.com
산학연Plus,[ZOOM] 기획자 입문 과정: 3시간 만에 배우는 필수 기획 스킬,2024. 6. 19.,https://edu.auri.go.kr
링커리어,인공지능(AI) 서비스기획자 양성과정 교육생모집,2024. 5. 30.,https://linkareer.com
요즘것들,[구름톤 트레이닝] 핀테크 서비스 기획자 과정,2024. 5. 20.,https://www.allforyoung.com
티스토리,"앱, 웹 개발을 위한 기획 과정 요약 - 애플피시 이야기",2024. 7. 1.,https://applefish03.tistory.com
크리에이터링크,세상을 연결하는 행사기획자 양성 전문과정,2024. 2. 22.,No URL available
성남시청,인공지능 서비스기획자 양성과정 교육생 모집 - 성남시,2024. 6. 11.,https://www.seongnam.go.kr
마포청년나루,[교육] [전문가창직] 지역기반 문화기획자 양성 과정,2024. 5. 16.,https://naroo.or.kr
NAVER,"어플 제작, 앱개발 과정 8단계 '기획부터 출시까지' - 네이버블로그",2024. 2. 7.,https://blog.naver.com
gokams.or.kr,교육 [국비지원] 공연예술 콘텐츠 기획실무 교육생 모집,2024. 4. 17.,https://www.gokams.or.kr
광명문화재단,2024 광명 시민문화기획자 활동과정 <광명 크루> 모집(제 ...,2024. 5. 17.,https://www.gmcf.or.kr
전통문화포털,2024 전통문화 전문인력양성 전통누리(기획자과정) 교육생 ...,2024. 6. 10.,https://www.kculture.or.kr
원티드,"6년 차 서비스 기획자, Tech PM의 새로운 길을 걷다",2024. 7. 29.,https://www.wanted.co.kr
청년취업사관학교,관악 캠퍼스,2024. 7. 17.,https://sesac.seoul.kr
NAVER,[PPT 기획하기] 기획자가 하는 일,2024. 2. 15.,https://blog.naver.com
국내도서,기획자의 탄생 | 박준서 - 교보문고,2024. 4. 11.,https://product.kyobobook.co.kr
아카데미느티나무,시민교육기획자학교① 새로운 상상과 실험을 위하여,2024. 4. 25.,https://academy.peoplepower21.org
요즘것들,2024 청년 로컬콘텐츠 기획자 양성 및 취업과정,2024. 4. 21.,https://www.allforyoung.com
대구문화예술진흥원,2024 차세대 문화예술기획자 양성과정 교육생 모집,2024. 3. 19.,https://dgfca.or.kr
온오프믹스,[서울시 무료교육] MICE 기획자 양성과정 (AI활용 업무효율 ...,2024. 7. 12.,https://onoffmix.com
상상마당 아카데미,KT&G 상상마당 콘서트 기획자 워크숍,2024. 6. 25.,https://www.ssmdacademy.com
링커리어,2024 미래내일 일경험 지원사업 엔터테인먼트 아티스트 ...,2024. 5. 12.,https://linkareer.com
경기IT새일센터,AI로 데이터 읽는 서비스기획자 양성 과정,2024. 7. 23.,https://itsaeil.or.kr
k-aia.or.kr,전문인재양성 - 초기투자액셀러레이터협회,2024. 6. 9.,https://k-aia.or.kr
위너스피티,PPT 기획자가 하는 일 | 프레젠테이션 컨설팅 전문기업 ...,2024. 2. 15.,https://winnerspt.kr
boottent.com,SeSAC Web 3.0 핀테크 서비스 기획자 양성 과정,2024. 3. 18.,https://boottent.com
Instagram,문화도시 영등포 | [마을축제 기획자 양성과정] 참여자 모집 ...,2024. 7. 30.,https://www.instagram.com
경기청년포털,성남여성인력개발센터 인공지능(AI) 서비스 기획자 양성과정,2024. 6. 7.,https://youth.gg.go.kr
belocal.kr,"시흥시, 「2024 청년문화기획자 양성과정」 참가자 모집 - 비로컬",2024. 4. 16.,https://www.belocal.kr
한국문화예술위원회,교육 | 아르코예술인력개발원 메뉴관리,2024. 7. 17.,https://www.arko.or.kr
온오프믹스,[K-디지털트레이닝] 멀티 디바이스 메타버스 플랫폼 게임 ...,2024. 2. 21.,https://onoffmix.com
얼싱팩,얼싱팩과 함께함 청년취업사관학교 강동캠퍼스 데모데이,2024. 4. 9.,https://earthingpack.com
factory2,"Factory, Project Planning School",2024. 1. 10.,https://factory2.kr
한국공학대학교,이커머스 상품기획자,2024. 5. 30.,https://www.tukorea.ac.kr
소셜임팩트뉴스,"경기 시흥시, '2024 청년문화기획자 양성과정' 참가자 모집",2024. 4. 17.,https://www.socialimpactnews.net
관광인,[모집][부산] 2024년 공정여행 기획자 양성과정,2024. 3. 27.,https://academy.visitkorea.or.kr
하자센터,[모집] 문화공간 기획 작업장 참가자 모집,2024. 6. 25.,https://haja.net
두나무,플랫폼 기획자,2024. 7. 2.,https://www.dunamu.com
아카데미느티나무,"시민교육기획자학교② 실습워크숍 <성찰, 표현, 연결을 위하여>",2024. 7. 8.,https://academy.peoplepower21.org
성신여자대학교,공지사항 - [2024 캠퍼스타운] 문화 콘텐츠 기획자 양성 ...,2024. 6. 19.,https://www.sungshin.ac.kr
광주비엔날레,광주비엔날레 아카데미 2024 전문기획자 양성프로그램 ...,2024. 7. 18.,http://www.gwangjubiennale.org
빛고을 50+ 센터,로컬(공정)여행 기획자 양성과정,2024. 7. 16.,http://www.gj50plus.or.kr
관광인,[모집] 2024 로컬여행 상품기획자 양성과정(5차 광주지역),2024. 7. 12.,https://academy.visitkorea.or.kr
